id	effectiveTime	active	moduleId	definitionStatusId
253005	20160131	1	900000000000207008	900000000000073002
302007	20160131	1	900000000000207008	900000000000073002
449005	20160131	1	900000000000207008	900000000000073002
495003	20160131	0	900000000000207008	900000000000074008
1148001	20160131	1	900000000000207008	900000000000073002
1182007	20160131	1	900000000000207008	900000000000073002
1206000	20160131	1	900000000000207008	900000000000073002
1222004	20160131	1	900000000000207008	900000000000073002
1447000	20160131	1	900000000000207008	900000000000073002
1552008	20160131	1	900000000000207008	900000000000073002
1692000	20160131	0	900000000000207008	900000000000074008
1829003	20160131	1	900000000000207008	900000000000073002
1848004	20160131	1	900000000000207008	900000000000074008
2037007	20160131	1	900000000000207008	900000000000074008
2470005	20160131	0	900000000000207008	900000000000074008
2523007	20160131	1	900000000000207008	900000000000073002
2596005	20160131	1	900000000000207008	900000000000073002
2850009	20160131	1	900000000000207008	900000000000073002
3046005	20160131	1	900000000000207008	900000000000073002
3224006	20160131	0	900000000000207008	900000000000074008
3334000	20160131	1	900000000000207008	900000000000073002
3453009	20160131	0	900000000000207008	900000000000074008
3629008	20160131	0	900000000000207008	900000000000074008
4220008	20160131	1	900000000000207008	900000000000073002
4382004	20160131	1	900000000000207008	900000000000073002
4600004	20160131	0	900000000000207008	900000000000074008
4725002	20160131	0	900000000000207008	900000000000074008
4740000	20160131	1	900000000000207008	900000000000073002
4834000	20160131	1	900000000000207008	900000000000073002
4860004	20160131	1	900000000000207008	900000000000073002
4915001	20160131	1	900000000000207008	900000000000073002
4937008	20160131	1	900000000000207008	900000000000073002
5313005	20160131	1	900000000000207008	900000000000073002
5567000	20160131	1	900000000000207008	900000000000073002
5737008	20160131	1	900000000000207008	900000000000073002
5786005	20160131	1	900000000000207008	900000000000073002
5797005	20160131	1	900000000000207008	900000000000073002
5808000	20160131	1	900000000000207008	900000000000073002
5810003	20160131	0	900000000000207008	900000000000074008
5975000	20160131	1	900000000000207008	900000000000073002
6122008	20160131	1	900000000000207008	900000000000073002
6369005	20160131	1	900000000000207008	900000000000073002
6775003	20160131	0	900000000000207008	900000000000074008
6858004	20160131	1	900000000000207008	900000000000074008
6960003	20160131	1	900000000000207008	900000000000073002
7092007	20160131	1	900000000000207008	900000000000073002
7187007	20160131	0	900000000000207008	900000000000074008
7511009	20160131	1	900000000000207008	900000000000074008
7577004	20160131	1	900000000000207008	900000000000073002
8306009	20160131	1	900000000000207008	900000000000073002
8416000	20160131	1	900000000000207008	900000000000073002
8442000	20160131	1	900000000000207008	900000000000073002
8554002	20160131	1	900000000000207008	900000000000073002
8584005	20160131	0	900000000000207008	900000000000074008
9012003	20160131	1	900000000000207008	900000000000073002
9312005	20160131	1	900000000000207008	900000000000073002
9645002	20160131	0	900000000000207008	900000000000074008
9653005	20160131	1	900000000000207008	900000000000073002
9771006	20160131	1	900000000000207008	900000000000073002
10281002	20160131	1	900000000000207008	900000000000073002
10319007	20160131	0	900000000000207008	900000000000074008
10504007	20160131	1	900000000000207008	900000000000073002
10555000	20160131	1	900000000000207008	900000000000073002
11051005	20160131	1	900000000000207008	900000000000073002
11389007	20160131	1	900000000000207008	900000000000073002
11429006	20160131	1	900000000000207008	900000000000073002
11459001	20160131	0	900000000000207008	900000000000074008
11840006	20160131	1	900000000000207008	900000000000073002
11959009	20160131	1	900000000000207008	900000000000073002
11974006	20160131	1	900000000000207008	900000000000074008
12008008	20160131	1	900000000000207008	900000000000073002
12096000	20160131	1	900000000000207008	900000000000073002
12223006	20160131	0	900000000000207008	900000000000074008
12512008	20160131	1	900000000000207008	900000000000073002
12559001	20160131	1	900000000000207008	900000000000073002
12694001	20160131	1	900000000000207008	900000000000073002
12756006	20160131	0	900000000000207008	900000000000074008
13132007	20160131	1	900000000000207008	900000000000073002
13155005	20160131	0	900000000000207008	900000000000074008
13197004	20160131	1	900000000000207008	900000000000073002
13251009	20160131	0	900000000000207008	900000000000074008
13272007	20160131	1	900000000000207008	900000000000073002
13414000	20160131	1	900000000000207008	900000000000073002
13512003	20160131	1	900000000000207008	900000000000073002
13592004	20160131	1	900000000000207008	900000000000073002
13800009	20160131	1	900000000000207008	900000000000073002
13929005	20160131	1	900000000000207008	900000000000073002
14170004	20160131	1	900000000000207008	900000000000073002
14179003	20160131	0	900000000000207008	900000000000074008
14560005	20160131	1	900000000000207008	900000000000073002
14706000	20160131	1	900000000000207008	900000000000073002
14728000	20160131	1	900000000000207008	900000000000073002
14833006	20160131	0	900000000000207008	900000000000074008
15113004	20160131	1	900000000000207008	900000000000073002
15222008	20160131	1	900000000000207008	900000000000073002
15342002	20160131	1	900000000000207008	900000000000073002
15772006	20160131	1	900000000000207008	900000000000073002
15845006	20160131	1	900000000000207008	900000000000073002
15900006	20160131	1	900000000000207008	900000000000073002
16388003	20160131	1	900000000000207008	900000000000073002
16629000	20160131	0	900000000000207008	900000000000074008
16791000	20160131	1	900000000000207008	900000000000073002
16858004	20160131	1	900000000000207008	900000000000073002
16867004	20160131	1	900000000000207008	900000000000073002
16970001	20160131	1	900000000000207008	900000000000073002
17111003	20160131	1	900000000000207008	900000000000073002
17136009	20160131	1	900000000000207008	900000000000073002
17308007	20160131	1	900000000000207008	900000000000073002
17386008	20160131	1	900000000000207008	900000000000073002
17974002	20160131	1	900000000000207008	900000000000073002
18118007	20160131	1	900000000000207008	900000000000073002
18140003	20160131	1	900000000000207008	900000000000073002
18310007	20160131	0	900000000000207008	900000000000074008
18381001	20160131	1	900000000000207008	900000000000073002
18914005	20160131	1	900000000000207008	900000000000073002
18952006	20160131	1	900000000000207008	900000000000073002
19194001	20160131	1	900000000000207008	900000000000073002
19405002	20160131	1	900000000000207008	900000000000073002
19547001	20160131	1	900000000000207008	900000000000073002
19630009	20160131	1	900000000000207008	900000000000073002
19793001	20160131	0	900000000000207008	900000000000074008
19841008	20160131	1	900000000000207008	900000000000073002
20177006	20160131	0	900000000000207008	900000000000074008
20427003	20160131	1	900000000000207008	900000000000073002
20547008	20160131	1	900000000000207008	900000000000073002
20955008	20160131	1	900000000000207008	900000000000073002
21333004	20160131	1	900000000000207008	900000000000073002
21391000	20160131	1	900000000000207008	900000000000073002
21707009	20160131	1	900000000000207008	900000000000073002
21857006	20160131	1	900000000000207008	900000000000073002
22198003	20160131	1	900000000000207008	900000000000073002
22504001	20160131	1	900000000000207008	900000000000073002
22554007	20160131	0	900000000000207008	900000000000074008
22961003	20160131	0	900000000000207008	900000000000074008
22969001	20160131	1	900000000000207008	900000000000073002
23196009	20160131	1	900000000000207008	900000000000073002
23477004	20160131	1	900000000000207008	900000000000073002
23502006	20160131	1	900000000000207008	900000000000074008
23609008	20160131	0	900000000000207008	900000000000074008
23827009	20160131	1	900000000000207008	900000000000073002
23838009	20160131	1	900000000000207008	900000000000073002
24078009	20160131	1	900000000000207008	900000000000073002
24302002	20160131	1	900000000000207008	900000000000073002
24450004	20160131	1	900000000000207008	900000000000073002
24504000	20160131	1	900000000000207008	900000000000073002
24911006	20160131	1	900000000000207008	900000000000073002
24957008	20160131	0	900000000000207008	900000000000074008
25057004	20160131	1	900000000000207008	900000000000073002
25416002	20160131	1	900000000000207008	900000000000073002
25860005	20160131	1	900000000000207008	900000000000073002
26350001	20160131	0	900000000000207008	900000000000074008
26402001	20160131	1	900000000000207008	900000000000073002
26503009	20160131	1	900000000000207008	900000000000073002
26986009	20160131	0	900000000000207008	900000000000074008
27241008	20160131	1	900000000000207008	900000000000073002
27479000	20160131	1	900000000000207008	900000000000073002
27621006	20160131	1	900000000000207008	900000000000073002
27658006	20160131	1	900000000000207008	900000000000073002
28410007	20160131	1	900000000000207008	900000000000073002
28506006	20160131	1	900000000000207008	900000000000073002
28639000	20160131	0	900000000000207008	900000000000074008
28713008	20160131	0	900000000000207008	900000000000074008
28749009	20160131	1	900000000000207008	900000000000073002
28766006	20160131	1	900000000000207008	900000000000073002
28867007	20160131	1	900000000000207008	900000000000073002
29051009	20160131	1	900000000000207008	900000000000073002
29062009	20160131	0	900000000000207008	900000000000074008
29121001	20160131	1	900000000000207008	900000000000073002
29175007	20160131	1	900000000000207008	900000000000073002
29303009	20160131	1	900000000000207008	900000000000073002
29388003	20160131	0	900000000000207008	900000000000074008
29439004	20160131	1	900000000000207008	900000000000073002
29883004	20160131	1	900000000000207008	900000000000073002
30067000	20160131	0	900000000000207008	900000000000074008
30080002	20160131	1	900000000000207008	900000000000073002
30270006	20160131	1	900000000000207008	900000000000073002
30427009	20160131	1	900000000000207008	900000000000073002
30492008	20160131	1	900000000000207008	900000000000073002
30671001	20160131	0	900000000000207008	900000000000074008
30761007	20160131	1	900000000000207008	900000000000073002
31015008	20160131	1	900000000000207008	900000000000073002
31087008	20160131	1	900000000000207008	900000000000073002
31306009	20160131	1	900000000000207008	900000000000073002
31692006	20160131	1	900000000000207008	900000000000073002
31865003	20160131	1	900000000000207008	900000000000073002
31970009	20160131	1	900000000000207008	900000000000073002
32108000	20160131	0	900000000000207008	900000000000074008
32249005	20160131	1	900000000000207008	900000000000073002
32286006	20160131	1	900000000000207008	900000000000073002
32474005	20160131	1	900000000000207008	900000000000073002
32792001	20160131	1	900000000000207008	900000000000073002
33122006	20160131	1	900000000000207008	900000000000073002
33200008	20160131	0	900000000000207008	900000000000074008
33252009	20160131	1	900000000000207008	900000000000073002
33647009	20160131	1	900000000000207008	900000000000073002
33877000	20160131	1	900000000000207008	900000000000073002
34140002	20160131	0	900000000000207008	900000000000074008
34217006	20160131	1	900000000000207008	900000000000073002
34462007	20160131	1	900000000000207008	900000000000073002
34693000	20160131	1	900000000000207008	900000000000073002
34729003	20160131	1	900000000000207008	900000000000074008
34731007	20160131	1	900000000000207008	900000000000073002
35063004	20160131	1	900000000000207008	900000000000073002
35282000	20160131	1	900000000000207008	900000000000073002
35355005	20160131	0	900000000000207008	900000000000074008
35793002	20160131	0	900000000000207008	900000000000074008
35834003	20160131	0	900000000000207008	900000000000074008
36068003	20160131	1	900000000000207008	900000000000073002
36206007	20160131	1	900000000000207008	900000000000073002
36391008	20160131	1	900000000000207008	900000000000073002
36594001	20160131	1	900000000000207008	900000000000073002
36893000	20160131	1	900000000000207008	900000000000073002
37084008	20160131	1	900000000000207008	900000000000073002
37306000	20160131	1	900000000000207008	900000000000073002
37628007	20160131	1	900000000000207008	900000000000073002
37714008	20160131	1	900000000000207008	900000000000074008
38011007	20160131	0	900000000000207008	900000000000074008
38166006	20160131	1	900000000000207008	900000000000073002
38191006	20160131	0	900000000000207008	900000000000074008
38662009	20160131	1	900000000000207008	900000000000073002
38976008	20160131	1	900000000000207008	900000000000073002
39069007	20160131	0	900000000000207008	900000000000074008
39172002	20160131	1	900000000000207008	900000000000073002
39359008	20160131	1	900000000000207008	900000000000073002
39426009	20160131	1	900000000000207008	900000000000073002
39963006	20160131	1	900000000000207008	900000000000073002
40138002	20160131	0	900000000000207008	900000000000074008
40232005	20160131	1	900000000000207008	900000000000073002
40759001	20160131	0	900000000000207008	900000000000074008
40877002	20160131	1	900000000000207008	900000000000073002
41193000	20160131	1	900000000000207008	900000000000073002
41221003	20160131	1	900000000000207008	900000000000074008
41298001	20160131	0	900000000000207008	900000000000074008
41454003	20160131	1	900000000000207008	900000000000073002
41549009	20160131	1	900000000000207008	900000000000073002
42082003	20160131	1	900000000000207008	900000000000073002
42386007	20160131	1	900000000000207008	900000000000073002
42452002	20160131	1	900000000000207008	900000000000073002
42720001	20160131	1	900000000000207008	900000000000073002
42947002	20160131	0	900000000000207008	900000000000074008
43034003	20160131	0	900000000000207008	900000000000074008
43333003	20160131	1	900000000000207008	900000000000073002
43484003	20160131	1	900000000000207008	900000000000073002
43812001	20160131	0	900000000000207008	900000000000074008
44051003	20160131	1	900000000000207008	900000000000073002
44393007	20160131	1	900000000000207008	900000000000073002
44938006	20160131	1	900000000000207008	900000000000073002
44961008	20160131	1	900000000000207008	900000000000074008
45042004	20160131	1	900000000000207008	900000000000073002
45129002	20160131	0	900000000000207008	900000000000074008
45312009	20160131	1	900000000000207008	900000000000073002
45421006	20160131	1	900000000000207008	900000000000073002
45518007	20160131	1	900000000000207008	900000000000073002
45844004	20160131	1	900000000000207008	900000000000073002
46045005	20160131	1	900000000000207008	900000000000073002
46436003	20160131	1	900000000000207008	900000000000073002
46479001	20160131	1	900000000000207008	900000000000073002
46547007	20160131	1	900000000000207008	900000000000073002
46576005	20160131	1	900000000000207008	900000000000073002
46800005	20160131	1	900000000000207008	900000000000073002
46899004	20160131	0	900000000000207008	900000000000074008
47054003	20160131	1	900000000000207008	900000000000073002
47179003	20160131	1	900000000000207008	900000000000073002
47277009	20160131	1	900000000000207008	900000000000073002
47449003	20160131	0	900000000000207008	900000000000074008
47602007	20160131	1	900000000000207008	900000000000073002
47755009	20160131	1	900000000000207008	900000000000073002
47898004	20160131	1	900000000000207008	900000000000073002
48005007	20160131	0	900000000000207008	900000000000074008
48022009	20160131	1	900000000000207008	900000000000073002
48036004	20160131	1	900000000000207008	900000000000073002
48225000	20160131	1	900000000000207008	900000000000073002
48261005	20160131	0	900000000000207008	900000000000074008
48277006	20160131	1	900000000000207008	900000000000073002
48631008	20160131	1	900000000000207008	900000000000073002
48698004	20160131	1	900000000000207008	900000000000073002
48836000	20160131	1	900000000000207008	900000000000073002
49020008	20160131	1	900000000000207008	900000000000074008
49026002	20160131	1	900000000000207008	900000000000073002
49190004	20160131	0	900000000000207008	900000000000074008
49265008	20160131	1	900000000000207008	900000000000073002
49485009	20160131	1	900000000000207008	900000000000073002
49590009	20160131	1	900000000000207008	900000000000073002
49705006	20160131	1	900000000000207008	900000000000073002
50256004	20160131	1	900000000000207008	900000000000073002
50520001	20160131	1	900000000000207008	900000000000073002
50620007	20160131	1	900000000000207008	900000000000073002
50982003	20160131	1	900000000000207008	900000000000073002
51013009	20160131	1	900000000000207008	900000000000073002
51334008	20160131	1	900000000000207008	900000000000073002
51613008	20160131	1	900000000000207008	900000000000073002
51779009	20160131	1	900000000000207008	900000000000073002
51823001	20160131	0	900000000000207008	900000000000074008
52486002	20160131	1	900000000000207008	900000000000073002
52896000	20160131	1	900000000000207008	900000000000073002
53651004	20160131	1	900000000000207008	900000000000073002
53940001	20160131	0	900000000000207008	900000000000074008
54130005	20160131	1	900000000000207008	900000000000073002
54577009	20160131	1	900000000000207008	900000000000073002
54887004	20160131	1	900000000000207008	900000000000073002
55382008	20160131	1	900000000000207008	900000000000073002
55432002	20160131	1	900000000000207008	900000000000073002
55745002	20160131	1	900000000000207008	900000000000073002
55760004	20160131	1	900000000000207008	900000000000073002
55889005	20160131	1	900000000000207008	900000000000073002
56009001	20160131	1	900000000000207008	900000000000073002
56059005	20160131	1	900000000000207008	900000000000073002
56230001	20160131	1	900000000000207008	900000000000073002
56527009	20160131	0	900000000000207008	900000000000074008
56722001	20160131	1	900000000000207008	900000000000073002
56934003	20160131	1	900000000000207008	900000000000073002
57191001	20160131	1	900000000000207008	900000000000073002
57263002	20160131	1	900000000000207008	900000000000073002
57538001	20160131	1	900000000000207008	900000000000073002
57616006	20160131	1	900000000000207008	900000000000073002
57670008	20160131	1	900000000000207008	900000000000073002
57752001	20160131	1	900000000000207008	900000000000073002
57893000	20160131	1	900000000000207008	900000000000073002
57952007	20160131	1	900000000000207008	900000000000073002
58019001	20160131	0	900000000000207008	900000000000074008
58484007	20160131	0	900000000000207008	900000000000074008
58650000	20160131	1	900000000000207008	900000000000073002
58883005	20160131	1	900000000000207008	900000000000073002
58892008	20160131	1	900000000000207008	900000000000073002
58905004	20160131	1	900000000000207008	900000000000073002
58944007	20160131	1	900000000000207008	900000000000073002
59255006	20160131	1	900000000000207008	900000000000073002
59393003	20160131	1	900000000000207008	900000000000073002
59475000	20160131	1	900000000000207008	900000000000073002
59544007	20160131	0	900000000000207008	900000000000074008
59589008	20160131	1	900000000000207008	900000000000073002
59788003	20160131	0	900000000000207008	900000000000074008
59799001	20160131	1	900000000000207008	900000000000073002
59941008	20160131	1	900000000000207008	900000000000073002
60731009	20160131	1	900000000000207008	900000000000073002
60746002	20160131	0	900000000000207008	900000000000074008
60937000	20160131	1	900000000000207008	900000000000073002
60939002	20160131	0	900000000000207008	900000000000074008
61126009	20160131	1	900000000000207008	900000000000073002
61651006	20160131	1	900000000000207008	900000000000073002
61862008	20160131	1	900000000000207008	900000000000073002
61880004	20160131	0	900000000000207008	900000000000074008
61980000	20160131	0	900000000000207008	900000000000074008
62246005	20160131	0	900000000000207008	900000000000074008
62288001	20160131	1	900000000000207008	900000000000073002
62479008	20160131	1	900000000000207008	900000000000073002
63226005	20160131	0	900000000000207008	900000000000074008
63957000	20160131	0	900000000000207008	900000000000074008
64115004	20160131	1	900000000000207008	900000000000073002
64349004	20160131	1	900000000000207008	900000000000073002
